Author_Standardized,Paper_Count
"Arfinto, E",1
"Silva, E",1
"Simanauskas, L",1
"Simhon, A",1
"Simionescu, B",1
"Argany, M",1
"Sims, C",1
"Sims, E",1
"Sinclair, T",1
"Singh, A",1
"Singh, H",1
"Singh, J",1
"Singh, R",1
"Arias-Rodríguez, F",1
"Singla, S",1
"Sinha, D",1
"Arnold, I",1
"Sinha, S",1
"Sivarajasingham, S",1
"Skitmore, M",1
"Slačálek, J",1
"Smaga, P",1
"Arunatilaka, S",1
"Smith, A",1
"Ashraf, A",1
"Assiddiki, M",1
"Atal, V",1
"Smith, K",1
"Atesoglu, H",1
"Soccorsi, S",1
"Sofyan, H",1
"Aucremanne, L",1
"Sokol, A",1
"Soliman, M",1
"Soltanieh-ha, M",1
"Somaratna, P",1
"Song, F",1
"Song, J",1
"Song, M",1
"Song, P",1
"Song, Z",1
"Sonnemans, J",1
"Soofi, A",1
"Audit, D",1
"Sosvilla-Rivero, S",1
"Sosvilla‐rivero, S",1
"Soto, S",1
"Soybilgen, B",1
"Spelta, A",1
"Auret, C",1
"Spiegler, R",1
"Sri, N",1
"Srinivasan, N",1
"Stancu, S",1
"Stander, L",1
"Stanislawska, E",1
"Startz, R",1
"Stasavage, D",1
"Steinreich, D",1
"Avouyi-Dovi, S",1
"Stephens, M",1
"Sterne, G",1
"Stine, R",1
"Stockhammer, E",1
"Strauss, J",1
"Struyf, A",1
"Subramanian, C",1
"Sucipto, S",1
"Suginam, S",1
"Suhartono, S",1
"Summers, L",1
"Sumner, S",1
"Sun, A",1
"Sun, F",1
"Ayala, A",1
"Sun, Y",1
"Sunariadi, N",1
"Ayaydın, H",1
"Aye, G",1
"Surico, P",1
"Suvanto, A",1
"Svensson, J",1
"Swaminathan, A",1
"Swank, O",1
"Azad, M",1
"Swetha, R",1
"Syahputra, R",1
"Syahzaqi, I",1
"Sydorenko, D",1
"Szyrmer, J",1
"SÖYLEMEZ, O",1
"Sánchez-Mangas, R",1
"Süssmuth, B",1
"TOHAMY, S",1
"TONG, B",1
"TRACY, J",1
"TREVITHICK, J",1
"Tabak, B",1
"Tabellini, G",1
"Taiwo, O",1
"Tamai, Y",1
"Tan, F",1
"Tan, Y",1
"Aziz, A",1
"Tas, B",1
"Tegami, C",1
"Teigland, C",1
"Tejaswi, D",1
"Tello, A",1
"Terajima, Y",1
"Terra, C",1
"Tesfaselassie, M",1
"Tewari, M",1
"Thakur, G",1
"Thamotheram, C",1
"Thi Truc Nguyen, H",1
"Thirunavukkarasu, K",1
"Thoma, M",1
"BOSE, N",1
"Thummalapudi, S",1
"Tian, H",1
"Bacha, E",1
"Tirtiroglu, D",1
"Bachmeier, L",1
"Tiwari, R",1
"Tizzanini, G",1
"Tlotlego, N",1
"Toader, E",1
"Tokuoka, k",1
"Toma, M",1
"Topa, G",1
"Tosasukul, J",1
"Tosun, T",1
"Tracy, J",1
"Trecroci, C",1
"Trigari, A",1
"Trivedi, D",1
"Tsang, E",1
"Tsaurai, K",1
"Tsiaplias, S",1
"Bahal, G",1
"Tu, Y",1
"Tudevdagva, U",1
"Tuinstra, J",1
"Bahmani-Oskooee, M",1
"Turnovsky, S",1
"UNGUREANU, L",1
"Bakri, R",1
"Udoh, N",1
"Uduma, A",1
"Ugwunta, D",1
"Uhlich, G",1
"Ulusoy, V",1
"Ummah, S",1
"Ungern-Sternberg, T",1
"Urbaitė, Ū",1
"Balcilar, M",1
"Baltacı, N",1
"Utama, W",1
"Utomo, Y",1
"Uusküla, L",1
"V, N",1
"Vahey, S",1
"Vakula, K",1
"Valcarcel, V",1
"Van Dijk, H",1
"Van Raaij, W",1
"Van Wesep, E",1
"Van Wesep, R",1
"VanHOOSE, D",1
"Banerjee, A",1
"Vanegas, P",1
"Venkatu, G",1
"Venkiteshwaran, V",1
"Verbrugge, R",1
"Verlaine, M",1
"Verma, A",1
"Veronesi, P",1
"Versal, N",1
"Verstyuk, S",1
"Villani, M",1
"Villar, D",1
"Villieu, P",1
"Vimalarathne, K",1
"Viqueira, A",1
"Virbickaitė, A",1
"Viren, M",1
"Visaltanachoti, N",1
"Viveros Jiménez, A",1
"Bar, T",1
"Vochozka, M",1
"Voss, G",1
"Vredin, A",1
"Vrontos, I",1
"Vrontos, S",1
"Vrugt, E",1
"Vu, D",1
"Barbon, S",1
"Barik, R",1
"Wagdi, O",1
"Wagner, N",1
"Wahyuddin, S",1
"Wakerly, E",1
"Walker, D",1
"Walker, T",1
"Barkan, O",1
"Walter, S",1
"Walters, A",1
"Walton, J",1
"Wang, A",1
"Wang, B",1
"Wang, C",1
"Wang, D",1
"Wang, G",1
"Barnett, W",1
"Wang, M",1
"Wang, Q",1
"Wang, S",1
"Wang, X",1
"Barr, G",1
"Wanke, P",1
"Warden, S",1
"Barro, R",1
"Basha, L",1
"Basher, S",1
"Wei, C",1
"Bastero-Gil, M",1
"Weinstein, D",1
"Weiß, C",1
"Wells, K",1
"Welz, M",1
"Wentzler, N",1
"Werlang, S",1
"Baştürk, N",1
"Whelan, K",1
"Wibawa, A",1
"Wibowo, A",1
"Widyatmoko, K",1
"Bednar, O",1
"Wijaya, M",1
"Wijayanto, H",1
"Wilcox, J",1
"Willett, T",1
"Bee Dagum, E",1
"Wilson, B",1
"Wilson, N",1
"Winer, S",1
"Winton, J",1
"Witkowski, B",1
"Wochner, D",1
"Wohlfart, J",1
"Wolters, M",1
"Wong, T",1
"Woodford, M",1
"Behrens, C",1
"Wozniak, P",1
"Belhaj, H",1
"Wu, J",1
"Wu, K",1
"Wu, L",1
"Wu, M",1
"Wu, Y",1
"Wulandari, G",1
"XUE, Y",1
"Xavier, A",1
"Xie, H",1
"Xiu, D",1
"Xu, F",1
"Xu, H",1
"Xu, Q",1
"Ben Bouheni, F",1
"Xu, Z",1
"YETMAN, J",1
"YI, J",1
"Yadav, A",1
"Yadav, S",1
"Yagil, J",1
"Yan, X",1
"Yang, C",1
"Yang, E",1
"Yang, J",1
"Yang, S",1
"Yang, Y",1
"Benavides, G",1
"Yanto, M",1
"Yaslam, M",1
"Benchimol, J",1
"Yates, T",1
"Yazgan, E",1
"Ye, C",1
"Ye, X",1
"Yee, Y",1
"Berardi, A",1
"Yi, C",1
"Yildirak, K",1
"Yin, Z",1
"Yohanes, S",1
"You, J",1
"Yu, C",1
"Yuan, D",1
"Yudistira, N",1
"Yuen, C",1
"Yuin, K",1
"Yunanto, P",1
"Yusoff, Y",1
"Yusuf, R",1
"Yuxiang, K",1
"ZHANG, J",1
"Afendi, F",1
"Afifah, N",1
"Afriany, J",1
"Afridi, U",1
"Afrouzi, H",1
"Agalgaonkar, A",1
"Agee, M",1
"AKINTUNDE, A",1
"Ahangar, R",1
"Ahiadorme, J",1
"Ahmad, S",1
"Ahmed, D",1
"Aizenman, J",1
"Ajmi, A",1
"Akande, E",1
"Akanni, E",1
"Akbarifard, H",1
"Bergen, M",1
"Akhirson, A",1
"Akkina, K",1
"Al Ghofur, A",1
"Al-Rjoub, S",1
"Alam, N",1
"Bernardo, J",1
"Alda, H",1
"Ali, I",1
"Ali, S",1
"Allam, A",1
"Allka, X",1
"Alwan, L",1
"Amalia, S",1
"ARIYO, S",1
"Zaher, F",1
"Zahir, A",1
"Zainal, R",1
"Zakaria, A",1
"Bescorovaynaya, N",1
"Best, G",1
"Zanetti, F",1
"ARANSON, P",1
"Zarin, N",1
"Zarnowitz, V",1
"Betancourt, R",1
"Zhang, C",1
"Zhang, D",1
"Bharti, S",1
"Bhatt, A",1
"Bhattacharya, J",1
"Bhattacharyya, R",1
"Zhang, R",1
"Bhoola, F",1
"Zhang, W",1
"Bianconcini, S",1
"Billmeier, A",1
"Zhao, F",1
"Zhao, L",1
"Zhao, Y",1
"Binici, M",1
"Zhen-Yu, L",1
"Zheng, L",1
"Zheng, Z",1
"Zhigljavsky, A",1
"Zhong, H",1
"Abdelsalam, M",1
