Author_Standardized,Paper_Count
"Budiastawa, I",1
"Budrys, Ž",1
"Bui, T",1
"Bullard, J",1
"Buncic, D",1
"Bundick, B",1
"Bunn, O",1
"Büsing, P",1
"Būda, S",1
"CANOVA, F",1
"CHOW, H",1
"CONSTANTINESCU, M",1
"Caceres, C",1
"Cagan, P",1
"Caivano, M",1
"Callot, L",1
"Camatte, H",1
"Campbell, J",1
"Canzoneri, M",1
"Cao, D",1
"Capasso, S",1
"Capraru, B",1
"Caraballo Pou, M",1
"Carbó, S",1
"Carmignani, F",1
"Carpenter, D",1
"Carrasco, M",1
"Carriere-Swallow, Y",1
"Carriero, A",1
"Carstensen, K",1
"Caspi, I",1
"Castro, J",1
"Cavaglia, S",1
"Celasun, O",1
"Ceyhan, S",1
"Chaiboonsri, C",1
"Chaitip, P",1
"Chakraborty, C",1
"Chakraborty, I",1
"Chakraborty, M",1
"Chamidah, N",1
"Chand, K",1
"Chandra, S",1
"Chandrachai, A",1
"Chang, C",1
"Chappell, D",1
"Chappell, H",1
"Chauhan, H",1
"Chen, H",1
"Chen, J",1
"Chen, K",1
"Chen, S",1
"Chen, Y",1
"Chen, Z",1
"Cheng, C",1
"Cheong, C",1
"Chernov, M",1
"Cheung, K",1
"Cheung, S",1
"Cheung, Y",1
"Chevalier, J",1
"Chi, H",1
"Chinn, M",1
"Chitalu Ch, M",1
"Chiu, E",1
"Chletsos, M",1
"Cho, S",1
"Choengtong, W",1
"Christofides, L",1
"Chuaykoblap, S",1
"Chutima, P",1
"Clark, N",1
"Clark, S",1
"Claveria, O",1
"Cobham, D",1
"Coffinet, J",1
"Cogley, T",1
"Cohen, E",1
"Constantin, A",1
"Cordeiro, Y",1
"Cornacchione, E",1
"Cornes, P",1
"Coronado, J",1
"Crespo Cuaresma, J",1
"Crump, R",1
"Cuba-Borda, P",1
"Cukierman, A",1
"Cumby, R",1
"Cynthia, O",1
"Căpraru, B",1
"D'Agostino, A",1
"DAWODU, G",1
"DEZHBAKHSH, H",1
"DSouza, A",1
"Dabbs, R",1
"Dabus, C",1
"Dai, Z",1
"Damrongsakmethee, T",1
"Danila, N",1
"Danutirta, A",1
"Dao, B",1
"Darby, M",1
"Dasgupta, S",1
"Dash, P",1
"Daudin, G",1
"Daugherty, J",1
"David, A",1
"David, I",1
"Davies, J",1
"Ddumba-Ssentamu, J",1
"De Meo, E",1
"Dechsakulthorn, S",1
"Del Negro, M",1
"Dewachter, H",1
"Dewi, C",1
"Dewi, Y",1
"Dharavath, R",1
"Dhini, A",1
"Dhital, S",1
"Dholakia, R",1
"Diba, B",1
"Dimand, R",1
"Ditta, A",1
"Dolado, J",1
"Dolejš, D",1
"Dong, Z",1
"Dongdong, W",1
"Donmez, C",1
"Douady, R",1
"Dow, S",1
"Dowd, K",1
"Dreger, C",1
"Drosou, V",1
"Dräger, L",1
"Dubrovskiy, V",1
"Duffey, R",1
"Dwiyanto, F",1
"Edens, D",1
"Edwards, R",1
"Edwards, S",1
"Effah Sarkodie Eric, I",1
"Egbelakin, T",1
"Eggertsson, G",1
"Egilsson, J",1
"Ehling, P",1
"Eickmeier, S",1
"Eka, O",1
"Ellingsen, T",1
"Elliott, D",1
"Ellis, C",1
"Ellison, M",1
"Eneje, B",1
"Engelmann, B",1
"Erber, G",1
"Erol, I",1
"Erson, V",1
"Eshun Nunoo, Y",1
"Esteve, V",1
"Estiko, F",1
"Ewald, C",1
"Fabien, L",1
"Falck, E",1
"Fama, E",1
"Fang, H",1
"Fang, Q",1
"Farahani, M",1
"Faria, J",1
"Farida, P",1
"Faseli, O",1
"Faubert, V",1
"Favero, C",1
"Feige, E",1
"Feitosa, M",1
"Feldstein, M",1
"Feng, G",1
"Feng, J",1
"Fernandes, B",1
"Ferracuti, E",1
"Ferrero, G",1
"Ferrja, A",1
"Fibriyani, V",1
"Fidalgo-Merino, R",1
"Firtescu, B",1
"Fitriyati, N",1
"Flamini, A",1
"Forni, M",1
"Fougere, D",1
"Frahm, G",1
"Franses, P",1
"Friedrich, A",1
"Fries, S",1
"GUERINEAU, S",1
"GUILLAMONT JEANNENEY, S",1
"GUO, Q",1
"GWIN, C",1
"Gadhave, A",1
"Gaffeo, E",1
"Gaglianone, W",1
"Gagnon, J",1
"Galashin, M",1
"Gallmeyer, M",1
"Gambetti, L",1
"Garcia, E",1
"Garcia, J",1
"Garcia, R",1
"Garcia-Schmidt, M",1
"García, E",1
"Garde-Hansen, H",1
"Garratt, A",1
"Garrett, T",1
"Garín, J",1
"Gates, Z",1
"Gatty, A",1
"Gaughan, P",1
"Gazely, A",1
"Gendall, K",1
"Gendall, P",1
"George Omondi, O",1
"GhasemiNejad, A",1
"Ghossoub, E",1
"Ghufran, B",1
"Giamattei, M",1
"Giannone, D",1
"Gianotten, H",1
"Giglio, S",1
"Gill, L",1
"Gil‐Alana, L",1
"Giordani, P",1
"Giovannelli, A",1
"Girdzijauskas, S",1
"Giribone, P",1
"Githii, W",1
"Gjika (Dhamo), E",1
"Glascock, J",1
"Gmeiner, R",1
"Godbole, A",1
"Goette, L",1
"Goldfajn, I",1
"Goldstein, I",1
"Golodniuk, I",1
"Gomis-Porqueras, P",1
"Goncharenko, R",1
"Gong, Y",1
"González, A",1
"Gonçalves, F",1
"Gonçalves, V",1
"Gootzeit, M",1
"Gorman, M",1
"Gould, D",1
"Granziera, E",1
"Grasselli, M",1
"Greenwood, R",1
"Griffin, J",1
"Grinols, E",1
"Groth, C",1
"Gruss, B",1
"Gu, Z",1
"Guan, S",1
"Guerrero, V",1
"Guiguet, E",1
"Guo, S",1
"Gupta, G",1
"Gupta, S",1
"Gurvich, E",1
